name,symbol,price
T1LK34.SA,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,71.70
AAPL34.SA,Apple Inc.,42.26
MSFT34.SA,Microsoft Corporation,63.65
TSMC34.SA,Taiwan Semiconductor Manufacturing Company Limited,52.51
B1SA34.SA,Banco Santander-Chile,47.55
BABA34.SA,Alibaba Group Holding Limited,15.02
GOGL35.SA,Alphabet Inc.,44.80
GOGL34.SA,Alphabet Inc.,44.42
AMZO34.SA,"Amazon.com, Inc.",26.32
BERK34.SA,Berkshire Hathaway Inc.,81.65
H1SB34.SA,HSBC Holdings plc,45.00
NVDC34.SA,NVIDIA Corporation,28.76
M1TA34.SA,"Meta Platforms, Inc.",42.55
TSLA34.SA,"Tesla, Inc.",25.54
JNJB34.SA,Johnson & Johnson,54.22
VISA34.SA,Visa Inc.,58.15
EXXO34.SA,Exxon Mobil Corporation,73.79
UNHH34.SA,UnitedHealth Group Incorporated,34.88
WALM34.SA,Walmart Inc.,46.85
LILY34.SA,Eli Lilly and Company,66.30
N1VO34.SA,Novo Nordisk A/S,104.24
PGCO34.SA,The Procter & Gamble Company,55.60
MSCD34.SA,Mastercard Incorporated,60.97
CHVX34.SA,Chevron Corporation,83.84
HOME34.SA,"The Home Depot, Inc.",53.22
